sensor,date,cloud_percentage,quality_flag,raw_area,pre_filtering_area_km2,post_filtering_area_km2,water_level_m,post_filtering_storage_mcm
sentinel,2018-10-11,0.0,1,177.45,185.19,226.41,1324.59,322.02
landsat,2018-10-22,0.01,1,149.65,196.73,232.53,1324.64,328.45
sentinel,2018-10-22,0.0,1,189.21,180.85,221.6,1324.55,316.97
landsat,2018-10-31,3.13,1,121.68,199.04,237.85,1324.69,334.04
sentinel,2018-10-31,3.3,1,153.94,184.76,224.28,1324.57,319.78
landsat,2018-11-11,1.55,1,71.47,199.13,237.95,1324.69,334.14
sentinel,2018-11-11,0.51,1,287.94,192.45,232.56,1324.64,328.48
landsat,2018-11-22,2.92,1,191.57,204.26,248.32,1324.79,345.04
sentinel,2018-11-22,0.0,1,209.44,207.02,237.05,1324.69,333.2
landsat,2018-11-30,0.68,1,216.6,235.43,262.49,1324.91,359.92
landsat,2018-12-11,48.65,0,44.48,148.68,182.41,1324.19,275.8
sentinel,2018-12-11,14.76,1,173.46,163.86,249.61,1324.8,346.39
